| ID |   Usuário   |       Data Inicial       |        Data Final        |
|346 | user_287    | 2022-07-30 11:33:19      | 2022-08-24 22:14:57      |
|347 | user_094    | 2020-07-25 19:51:42      | 2020-08-18 17:09:31      |
|348 | user_021    | 2024-03-15 14:19:13      | 2024-04-10 00:02:47      |
|349 | user_194    | 2022-01-27 11:35:18      | 2022-02-22 16:45:58      |
|350 | user_312    | 2020-06-22 02:11:42      | 2020-07-18 02:51:36      |
|351 | user_038    | 2023-04-25 04:05:59      | 2023-05-20 07:45:07      |
|352 | user_171    | 2022-11-04 00:22:28      | 2022-11-28 21:08:49      |
|353 | user_113    | 2021-09-16 05:15:42      | 2021-10-11 00:57:56      |
|354 | user_097    | 2020-09-10 01:44:19      | 2020-10-05 15:14:17      |
|355 | user_409    | 2024-04-01 11:02:49      | 2024-04-26 01:44:43      |
|356 | user_173    | 2023-02-11 18:08:29      | 2023-03-07 05:32:13      |
|357 | user_281    | 2022-05-01 12:33:28      | 2022-05-27 04:33:57      |
|358 | user_433    | 2020-12-29 07:42:32      | 2021-01-24 00:09:18      |
|359 | user_079    | 2023-05-21 18:43:42      | 2023-06-16 23:13:37      |
|360 | user_010    | 2022-12-03 06:42:29      | 2022-12-28 02:14:19      |
|361 | user_208    | 2022-04-09 00:20:38      | 2022-05-04 03:00:45      |
|362 | user_287    | 2021-03-14 00:48:12      | 2021-04-07 14:02:42      |
|363 | user_084    | 2020-08-15 08:37:39      | 2020-09-09 14:45:19      |
|364 | user_099    | 2024-02-17 22:38:58      | 2024-03-12 15:29:03      |
|365 | user_184    | 2022-09-19 06:23:22      | 2022-10-14 04:40:45      |
|366 | user_327    | 2021-01-18 10:12:59      | 2021-02-12 17:24:49      |
|367 | user_289    | 2020-07-19 11:49:28      | 2020-08-13 10:21:09      |
|368 | user_440    | 2023-03-15 18:16:59      | 2023-04-09 21:29:17      |
|369 | user_058    | 2021-07-27 02:11:38      | 2021-08-20 00:39:23      |
|370 | user_063    | 2020-07-23 09:21:42      | 2020-08-16 20:14:54      |
|371 | user_339    | 2024-04-13 10:11:22      | 2024-05-07 22:35:11      |
|372 | user_061    | 2023-06-08 14:52:59      | 2023-07-02 12:43:04      |
|373 | user_115    | 2022-05-17 01:49:11      | 2022-06-09 23:35:43      |
|374 | user_205    | 2021-11-28 12:08:28      | 2021-12-21 19:53:53      |
|375 | user_289    | 2020-10-12 18:32:42      | 2020-11-06 22:03:56      |
|376 | user_310    | 2024-02-17 22:08:19      | 2024-03-13 09:41:19      |
|377 | user_165    | 2022-06-06 08:52:28      | 2022-07-01 19:23:19      |
|378 | user_262    | 2021-04-27 23:29:19      | 2021-05-20 10:01:26      |
|379 | user_295    | 2020-11-02 09:19:37      | 2020-11-26 13:56:29      |
|380 | user_358    | 2024-02-13 21:08:29      | 2024-03-08 21:29:19      |
|381 | user_286    | 2022-09-18 04:25:42      | 2022-10-12 11:01:08      |
|382 | user_370    | 2020-10-15 19:21:59      | 2020-11-09 05:45:07      |
|383 | user_191    | 2023-09-10 20:29:22      | 2023-10-04 05:24:32      |
|384 | user_327    | 2022-05-07 12:02:38      | 2022-06-01 10:10:24      |
|385 | user_291    | 2021-02-21 22:21:59      | 2021-03-18 10:51:49      |
|386 | user_220    | 2020-07-12 11:47:28      | 2020-08-07 01:51:49      |
|387 | user_063    | 2024-03-03 00:08:39      | 2024-03-27 01:08:39      |
|388 | user_262    | 2023-04-13 07:09:42      | 2023-05-07 10:35:08      |
|389 | user_214    | 2022-10-07 19:08:19      | 2022-11-01 18:52:29      |
|390 | user_177    | 2022-10-05 20:36:38      | 2022-10-31 11:29:57      |
|391 | user_183    | 2022-10-22 14:21:39      | 2022-11-17 05:13:45      |
|392 | user_184    | 2020-08-21 23:54:17      | 2020-09-15 19:31:48      |
|393 | user_077    | 2024-03-01 06:58:28      | 2024-03-24 19:53:59      |
|394 | user_355    | 2021-05-15 17:05:11      | 2021-06-07 22:54:57      |
|395 | user_295    | 2020-10-04 04:35:42      | 2020-10-27 13:03:56      |
|396 | user_421    | 2023-07-18 01:29:38      | 2023-08-11 13:35:19      |
|397 | user_124    | 2022-04-03 07:11:59      | 2022-04-27 14:56:32      |
|398 | user_201    | 2020-07-10 08:53:28      | 2020-08-02 23:35:26      |
|399 | user_289    | 2024-03-30 11:32:58      | 2024-04-24 02:49:42      |
|400 | user_278    | 2022-02-08 09:42:28      | 2022-03-05 02:00:13      |
|401 | user_182    | 2020-09-02 15:57:59      | 2020-09-27 02:17:56      |
|402 | user_308    | 2023-02-18 11:21:12      | 2023-03-15 13:22:08      |
|403 | user_104    | 2022-09-03 20:31:42      | 2022-09-27 19:35:22      |
|404 | user_226    | 2020-08-26 00:45:22      | 2020-09-19 20:42:19      |
|405 | user_092    | 2024-03-14 09:25:38      | 2024-04-07 12:31:23      |
|406 | user_287    | 2022-01-02 20:36:59      | 2022-01-28 04:19:49      |
|407 | user_263    | 2020-12-02 18:22:29      | 2020-12-26 08:08:43      |
|408 | user_443    | 2023-08-22 01:27:42      | 2023-09-14 09:02:27      |
|409 | user_111    | 2022-07-12 06:43:19      | 2022-08-05 14:30:39      |
|410 | user_315    | 2021-10-14 22:08:59      | 2021-11-09 15:22:11      |
|411 | user_065    | 2020-09-26 09:24:28      | 2020-10-21 17:52:18      |
|412 | user_004    | 2024-01-16 15:11:59      | 2024-02-10 11:19:47      |
|413 | user_390    | 2022-03-03 14:57:22      | 2022-03-27 17:45:49      |
|414 | user_298    | 2020-07-05 23:49:19      | 2020-07-29 12:55:39      |
|415 | user_168    | 2023-03-21 01:24:38      | 2023-04-15 17:56:08      |
|416 | user_260    | 2022-08-23 21:11:59      | 2022-09-18 07:02:57      |
|417 | user_131    | 2021-05-21 07:32:12      | 2021-06-14 21:39:03      |
|418 | user_130    | 2020-10-11 10:25:28      | 2020-11-05 17:58:38      |
|419 | user_223    | 2024-02-12 06:23:39      | 2024-03-06 16:32:27      |
|420 | user_192    | 2022-02-15 20:56:59      | 2022-03-10 18:47:22      |
|421 | user_391    | 2021-07-10 08:49:38      | 2021-08-04 06:21:49      |
|422 | user_097    | 2020-07-03 01:48:59      | 2020-07-28 03:27:18      |
|423 | user_216    | 2023-10-28 19:44:42      | 2023-11-22 11:27:56      |
|424 | user_283    | 2022-05-14 04:21:11      | 2022-06-08 17:41:31      |
|425 | user_199    | 2021-01-09 03:32:38      | 2021-02-03 20:31:49      |
|426 | user_165    | 2020-07-02 01:49:59      | 2020-07-27 03:02:22      |
|427 | user_293    | 2023-08-11 15:47:28      | 2023-09-05 17:38:39      |
|428 | user_113    | 2022-11-23 08:23:59      | 2022-12-18 08:29:13      |
|429 | user_371    | 2021-10-16 22:18:22      | 2021-11-09 10:34:24      |
|430 | user_109    | 2020-08-14 05:56:39      | 2020-09-07 07:52:22      |
|431 | user_092    | 2024-03-16 03:07:59      | 2024-04-09 14:34:24      |
|432 | user_240    | 2022-09-08 18:39:28      | 2022-10-03 00:23:42      |
|433 | user_350    | 2021-04-04 06:55:59      | 2021-04-28 15:21:07      |
|434 | user_021    | 2020-08-14 01:18:22      | 2020-09-06 18:41:19      |
|435 | user_171    | 2023-02-19 04:32:42      | 2023-03-16 02:52:57      |
|436 | user_195    | 2022-07-06 19:33:59      | 2022-07-31 01:43:37      |
|437 | user_143    | 2020-07-16 06:27:38      | 2020-08-08 19:09:47      |
|438 | user_230    | 2024-02-28 00:11:59      | 2024-03-22 13:44:27      |
|439 | user_294    | 2022-01-25 01:43:42      | 2022-02-19 05:41:19      |
|440 | user_270    | 2020-11-21 13:58:59      | 2020-12-14 23:23:43      |
|441 | user_449    | 2023-09-29 03:09:28      | 2023-10-23 18:15:49      |
|442 | user_187    | 2022-04-05 09:42:19      | 2022-04-29 15:45:27      |
|443 | user_237    | 2021-11-14 11:16:59      | 2021-12-08 14:32:49      |
|444 | user_320    | 2020-12-07 04:57:39      | 2021-01-01 09:56:42      |
|445 | user_398    | 2023-07-12 00:49:59      | 2023-08-06 20:51:42      |
|446 | user_345    | 2022-07-17 23:42:38      | 2022-08-12 21:53:57      |
|447 | user_259    | 2021-07-17 12:04:19      | 2021-08-10 08:27:59      |
|448 | user_244    | 2020-08-28 17:41:42      | 2020-09-21 21:13:22      |
|449 | user_073    | 2024-01-22 01:33:59      | 2024-02-16 16:58:13      |
|450 | user_138    | 2022-01-15 18:18:28      | 2022-02-08 15:29:59      |
|451 | user_352    | 2020-10-16 04:59:39      | 2020-11-10 00:29:28      |
|452 | user_312    | 2023-06-02 05:42:59      | 2023-06-27 07:32:22      |
|453 | user_276    | 2022-05-09 15:31:59      | 2022-06-03 08:29:11      |
|454 | user_250    | 2020-08-08 17:03:38      | 2020-09-02 18:56:22      |
|455 | user_256    | 2023-02-26 20:49:42      | 2023-03-22 09:47:56      |
|456 | user_057    | 2021-09-22 18:36:19      | 2021-10-17 07:11:38      |
|457 | user_356    | 2020-07-06 01:52:58      | 2020-07-30 13:38:29      |
|458 | user_063    | 2024-03-19 02:39:28      | 2024-04-12 10:51:11      |
|459 | user_159    | 2022-02-27 20:11:59      | 2022-03-24 18:17:42      |
|460 | user_263    | 2021-04-10 07:53:39      | 2021-05-05 18:53:19      |
|461 | user_066    | 2020-08-14 20:12:12      | 2020-09-06 22:29:38      |
|462 | user_365    | 2024-03-05 08:36:59      | 2024-03-29 17:01:49      |
|463 | user_032    | 2022-06-29 10:28:28      | 2022-07-23 21:52:29      |
|464 | user_398    | 2022-01-16 14:36:11      | 2022-02-11 14:39:24      |
|465 | user_221    | 2020-07-24 02:18:42      | 2020-08-18 16:18:38      |
|466 | user_254    | 2023-03-29 19:52:28      | 2023-04-24 02:12:49      |
|467 | user_183    | 2020-11-21 18:19:59      | 2020-12-15 00:48:13      |
|468 | user_084    | 2024-01-27 07:44:39      | 2024-02-20 23:00:49      |
|469 | user_305    | 2022-08-23 17:29:58      | 2022-09-17 21:29:42      |
|470 | user_283    | 2021-01-07 00:05:22      | 2021-01-31 19:12:17      |
|471 | user_163    | 2020-07-30 14:46:28      | 2020-08-24 14:13:22      |
|472 | user_399    | 2023-01-17 07:19:59      | 2023-02-10 21:23:22      |
|473 | user_438    | 2022-06-22 21:02:59      | 2022-07-17 00:02:49      |
|474 | user_214    | 2020-09-16 10:22:19      | 2020-10-09 21:25:11      |
|475 | user_054    | 2024-02-23 04:31:59      | 2024-03-18 17:31:22      |
|476 | user_319    | 2021-10-28 03:24:42      | 2021-11-21 07:35:38      |
|477 | user_240    | 2020-08-14 14:43:19      | 2020-09-06 08:42:59      |
|478 | user_195    | 2023-01-22 09:09:28      | 2023-02-17 00:19:19      |
|479 | user_339    | 2020-09-01 03:42:12      | 2020-09-26 08:39:28      |
|480 | user_367    | 2023-07-06 20:56:59      | 2023-08-01 00:19:59      |
|481 | user_244    | 2022-06-03 04:01:38      | 2022-06-28 01:10:17      |
|482 | user_093    | 2021-03-08 09:32:59      | 2021-04-01 19:56:08      |
|483 | user_165    | 2020-12-09 01:07:22      | 2021-01-01 18:33:19      |
|484 | user_276    | 2024-03-05 03:43:59      | 2024-03-29 16:42:49      |
|485 | user_250    | 2022-05-10 03:38:28      | 2022-06-02 18:53:13      |
|486 | user_212    | 2021-09-29 11:48:59      | 2021-10-24 02:43:38      |
|487 | user_266    | 2020-07-29 03:29:38      | 2020-08-21 12:55:59      |
|488 | user_349    | 2024-01-10 01:18:59      | 2024-02-02 20:03:49      |
|489 | user_350    | 2022-06-07 01:12:22      | 2022-07-01 20:34:27      |
|490 | user_324    | 2021-04-24 17:16:28      | 2021-05-18 08:03:49      |
|491 | user_291    | 2020-08-18 00:32:59      | 2020-09-11 13:31:42      |
|492 | user_365    | 2023-01-03 20:39:42      | 2023-01-27 23:01:49      |
|493 | user_126    | 2021-09-01 09:57:19      | 2021-09-24 15:38:59      |
|494 | user_089    | 2020-07-11 23:27:59      | 2020-08-04 23:11:38      |
|495 | user_214    | 2024-03-08 00:34:28      | 2024-04-02 16:01:22      |
|496 | user_347    | 2022-03-19 12:53:59      | 2022-04-13 17:29:17      |
|497 | user_422    | 2020-11-17 12:11:28      | 2020-12-11 07:08:57      |
|498 | user_220    | 2023-01-19 05:48:42      | 2023-02-12 17:52:13      |
|499 | user_163    | 2021-10-23 04:12:28      | 2021-11-17 23:16:49      |
|500 | user_371    | 2020-09-23 14:03:59      | 2020-10-17 18:38:22      |
